pri_sch_name,pop_ranking
Nan Hua Primary School,1
CHIJ Saint Nicholas Girls' School,2
Pei Hwa Presbyterian Primary School,3
Rosyth School,4
Ai Tong School,5
Temasek Primary School,6
Rulang Primary School,7
Catholic High School,8
Saint Hilda's Primary School,9
Radin Mas Primary School,10
Nanyang Primary School,11
Henry Park Primary School,12
Gongshang Primary School,13
Red Swastika School,14
Princess Elizabeth Primary School,15
Pei Chun Public School,16
Yu Neng Primary School,17
Westwood Primary School,18
Tao Nan School,19
Anglo-Chinese School (Junior),20
Fairfield Methodist School,21
Anglo-Chinese School (Primary),22
CHIJ Primary,23
Kuo Chuan Presbyterian Primary School,24
Methodist Girls' School (Primary),25
Holy Innocents' Primary School,26
Saint Joseph's Institution Junior,27
Maris Stella High School,28
Singapore Chinese Girls' Primary School,29
Chongfu School,30
Nan Chiau Primary School,31
Canberra Primary School,32
South View Primary School,33
Northland Primary School,34
Sengkang Green Primary School,35
Frontier Primary School,36
West Spring Primary School,37
Shuqun Primary School,38
Poi Ching School,39
Pasir Ris Primary School,40
Saint Anthony's Primary School,41
Punggol Green Primary School,42
Raffles Girls' Primary School,43
Keming Primary School,44
Kong Hwa School,45
Horizon Primary School,46
Hong Wen School,47
Chua Chu Kang Primary School,48
Mee Toh School,49
Fengshan Primary School,50
River Valley Primary School,51
Maha Bodhi School,52
Riverside Primary School,53
Anderson Primary School,54
Hougang Primary School,55
Alexandra Primary School,56
Admiralty Primary School,57
Chongzheng Primary School,58
Xinmin Primary School,59
Waterway Primary School,60
Qifa Primary School,61
Yangzheng Primary School,62
Saint Andrew's Junior School,63
Paya Lebar Methodist Girls' School,64
Innova Primary School,65
Oasis Primary School,66
Fern Green Primary School,67
Punggol View Primary School,68
Springdale Primary School,69
Tanjong Katong Primary School,70
Bukit Panjang Primary School,71
White Sands Primary School,72
Teck Ghee Primary School,73
Wellington Primary School,74
Jurong Primary School,75
West Grove Primary School,76
Tampines Primary School,77
Punggol Primary School,78
Elias Park Primary School,79
CHIJ Our Lady of The Nativity,80
Haig Girls' School,81
Huamin Primary School,82
Rivervale Primary School,83
Woodlands Primary School,84
CHIJ Our Lady of Good Counsel,85
Concord Primary School,86
Woodgrove Primary School,87
Compassvale Primary School,88
Lakeside Primary School,89
Opera Estate Primary School,90
Ngee Ann Primary School,91
Junyuan Primary School,92
Kheng Cheng School,93
Jurong West Primary School,94
Queenstown Primary School,95
Sembawang Primary School,96
Saint Gabriel's Primary School,97
Zhangde Primary School,98
Saint Margaret's Primary School,99
De La Salle School,100
Casuarina Primary School,101
Evergreen Primary School,102
Clementi Primary School,103
CHIJ,104
Canossa Catholic Primary School,105
North View Primary School,106
Punggol Cove Primary School,107
Dazhong Primary School,108
Fuhua Primary School,109
Anchor Green Primary School,110
Geylang Methodist School,111
Chij (Katong) Primary,112
Bukit Timah Primary School,113
Valour Primary School,114
Naval Base Primary School,115
Montfort Junior School,116
Tampines North Primary School,117
Edgefield Primary School,118
Marymount Convent School,119
Jing Shan Primary School,120
Xishan Primary School,121
Palm View Primary School,122
Yumin Primary School,123
CHIJ Our Lady Queen of Peace,124
Greenwood Primary School,125
Saint Stephen's School,126
Fernvale Primary School,127
Zhenghua Primary School,128
Park View Primary School,129
Xingnan Primary School,130
Endeavour Primary School,131
Mayflower Primary School,132
Telok Kurau Primary School,132
East Spring Primary School,132
Yew Tee Primary School,132
Saint Anthony's Canossian Primary School,132
Woodlands Ring Primary School,132
Seng Kang Primary School,132
Qihua Primary School,132
Corporation Primary School,132
Yio Chu Kang Primary School,132
Xinghua Primary School,132
Cedar Primary School,132
Bendemeer Primary School,132
First Toa Payoh Primary School,132
Boon Lay Garden Primary School,132
West View Primary School,132
Zhonghua Primary School,132
Kranji Primary School,132
North Vista Primary School,132
Pioneer Primary School,132
New Town Primary School,132
Gan Eng Seng Primary School,132
Stamford Primary School,132
Marsiling Primary School,132
Damai Primary School,132
Yishun Primary School,132
Greendale Primary School,132
Bedok Green Primary School,132
North Spring Primary School,132
Yuhua Primary School,132
Eunos Primary School,132
Guangyang Primary School,132
Peiying Primary School,132
Bukit View Primary School,132
Beacon Primary School,132
Pei Tong Primary School,132
Ahmad Ibrahim Primary School,132
Ang Mo Kio Primary School,132
Meridian Primary School,132
Greenridge Primary School,132
Lianhua Primary School,132
Juying Primary School,132
Fuchun Primary School,132
Jiemin Primary School,132
Blangah Rise Primary School,132
Teck Whye Primary School,132
Angsana Primary School,132
Unity Primary School,132
Townsville Primary School,132
Farrer Park Primary School,132
Changkat Primary School,132
Si Ling Primary School,132
Cantonment Primary School,132
Northoaks Primary School,132
Northshore Primary School,132
